Speed (rpm),Power (mW)
2504.1,889.54
2503.7,889.31
2503.4,889.13
2503.1,889.02
2502.9,888.96
2502.6,888.95
2502.4,888.97
2502.2,889.09
2502,889.22
2501.8,889.33
2501.6,889.4
2501.4,889.41
2501.2,889.36
2500.9,889.22
2500.7,888.98
2500.4,888.65
2500.1,888.23
2499.8,887.55
2499.5,886.81
2499.2,886.04
2498.9,885.26
2498.6,884.51
2498.2,883.83
2497.9,883.24
2497.5,882.77
2497.2,882.44
2496.8,882.28
2496.4,882.51
2496,882.9
2495.6,883.43
2495.2,884.09
2494.8,884.83
2494.4,885.64
2494,886.46
2493.5,887.29
2493.1,888.07
2492.6,888.78
2492.1,889.19
2491.7,889.51
2491.2,889.72
2490.8,889.85
2490.3,889.89
2489.8,889.87
2489.4,889.79
2489,889.66
2488.6,889.52
2488.2,889.36
2487.9,889.36
2487.6,889.35
2487.3,889.34
2487,889.32
2486.8,889.27
2486.6,889.18
2486.4,889.05
2486.3,888.87
2486.1,888.62
2486,888.31
2485.9,887.82
2485.7,887.25
2485.6,886.64
2485.4,885.97
2485.2,885.28
2485,884.56
2484.8,883.84
2484.5,883.14
2484.2,882.45
2483.9,881.81
2483.5,881.28
2483.1,880.8
2482.7,880.38
2482.2,880.02
2481.8,879.71
2481.3,879.45
2480.9,879.24
2480.4,879.08
2479.9,878.95
2479.5,878.86
2479.1,878.76
2478.7,878.68
2478.4,878.63
2478.1,878.59
2477.8,878.58
2477.5,878.57
2477.3,878.59
2477.1,878.62
2477,878.66
2476.8,878.72
2476.6,878.81
2476.4,878.92
2476.2,879.04
2476,879.19
2475.7,879.36
2475.5,879.54
2475.1,879.76
2474.8,879.99
2474.4,880.24
2474,880.52
2473.7,880.83
2473.3,881.15
2472.9,881.5
2472.5,881.86
2472.2,882.23
2471.8,882.61
2471.5,883
2471.2,883.39
2470.9,883.79
2470.7,884.18
2470.5,884.55
2470.3,884.91
2470.1,885.26
2469.9,885.59
2469.7,885.89
2469.6,886.17
2469.5,886.42
2469.4,886.63
2469.3,886.82
2469.2,886.96
2469.2,887.07
2469.2,887.14
2469.2,887.17
2469.3,887.16
2469.4,887.11
2469.5,887.02
2469.6,886.89
2469.8,886.72
2470,886.52
2470.2,886.08
2470.4,885.75
2470.6,885.4
2470.8,885.05
2471,884.7
2471.2,884.34
2471.5,884
2471.7,883.66
2472,886.34
